procs,num_nodes,avg_mean_time,avg_max_time
16,10,0.0027357957028186775,0.0027822687497973675
16,100,0.0034194281251416214,0.0034785124989866745
16,1000,0.012685785155838403,0.01301458750049278
16,10000,0.068279908398722,0.06878821874897767
16,100000,1.545790971093595,1.5464216562477304
14,10,0.0008387584820021792,0.0008551624987376272
14,100,0.0015438732139695533,0.0015585374999318446
14,1000,0.006150283258713381,0.00619294375201207
14,10000,0.05917200245562527,0.05926221250047092
14,100000,1.1836182526783758,1.1836744312508927
12,10,0.000845687500107791,0.0008675718745507766
12,100,0.0014477791664830877,0.001462400000946218
12,1000,0.005781578645837725,0.005820134375881025
12,10000,0.06687438906222573,0.06702092499926948
12,100000,1.3085869643227854,1.3086444843743266
10,10,0.0005812625000544357,0.000599587500346388
10,100,0.0011807515627879183,0.0011995750001005945
10,1000,0.005011808750577985,0.0050454125012038276
10,10000,0.08147168750037963,0.08150645624800745
10,100000,1.1648074003121565,1.1648615812482603
8,10,0.00045366367129417995,0.0004621999987648451
8,100,0.0010934511718687645,0.0011051218766624515
8,1000,0.0040496644529639525,0.004177862500455376
8,10000,0.038954662110370464,0.039182893750876246
8,100000,1.1276933714846678,1.1284942000002047
6,10,0.001148987499694461,0.0011654499990072509
6,100,0.0022193869793530516,0.002234853125628433
6,1000,0.01253676874989651,0.012663503126987052
6,10000,0.14323453697943475,0.14751428125009625
6,100000,2.0275526812501994,2.031950559375673
4,10,0.0010318648430711619,0.0010514625000723754
4,100,0.0019738562502880086,0.001995543751036166
4,1000,0.011273510937371611,0.011357168749782431
4,10000,0.11367931718780255,0.1138341218761525
4,100000,1.8685287546874179,1.8687563281241637
2,10,0.0008597984374318912,0.0008848968745951424
2,100,0.0014978765618707257,0.0015117218740670069
2,1000,0.008342359375092201,0.00836315625019779
2,10000,0.07847630937521899,0.07850173437418562
2,100000,1.4538877640632109,1.4539102687504055
4,10,0.001032692187528994,0.0010515343750228112
4,100,0.0017018289062278313,0.0017345687500096574
4,1000,0.011755301562530462,0.011847662499945955
4,10000,0.1374823187499672,0.13758739374983975
4,100000,1.2922493984375407,1.292304706250036
4,100000,0.9893869250001899,0.9895856000002823
4,100000,0.9868717499998638,0.987029199999597
