procs,num_nodes,avg_mean_time,avg_max_time
2,10,0.00033847031247091763,0.0003455999999459891
2,100,0.0008032906249866301,0.0008273125001210246
2,1000,0.0034066656249081007,0.0036193156249737513
2,10000,0.026586345312580306,0.027797815625092426
3,10,0.00036120833325033647,0.000367821874931451
3,100,0.0006032656248938412,0.0006172312498051724
3,1000,0.002808517708331237,0.002938884375055295
3,10000,0.02516168333338934,0.026563678125000934
4,10,0.00035989218751808494,0.0003707218749582353
4,100,0.0006671953125305663,0.0007102999998664927
4,1000,0.0025568828124278298,0.002955606249770426
4,10000,0.025113820312498092,0.02942035000000942
5,10,0.00044386062501189377,0.0004544749999695341
5,100,0.0007589024999901995,0.0007932499999583342
5,1000,0.0029942556250148306,0.0032808906248646963
5,10000,0.03933398187493822,0.0641794343747506
6,10,0.000496754166666354,0.0005222812498573148
6,100,0.0008857135417296527,0.000968109374866799
6,1000,0.0028813119791379913,0.0034475718750286433
6,10000,0.027202209895875747,0.033400940624915165
7,10,0.0006036285713467545,0.0006323749999523898
7,100,0.001014173214303225,0.0010752562500329077
7,1000,0.0030827580357432843,0.0033963718753398098
7,10000,0.03770137455351882,0.05557295937501294
8,10,0.0006873578123958168,0.0007337312496815684
8,100,0.001068542578117615,0.0011717687499412932
8,1000,0.0033378882811376798,0.003946549999909621
8,10000,0.03684795976559485,0.043523587499691985
9,10,0.0006537951388546995,0.0006957499998065941
9,100,0.00123982430562819,0.0013868406250026055
9,1000,0.004658865277810442,0.005700746874993001
9,10000,0.04330543993055219,0.05282540312521178
10,10,0.0006625193750437579,0.0007175812501145629
10,100,0.0012562837500297518,0.0013894843750676955
10,1000,0.005127973750040837,0.006015618749927398
10,10000,0.0433155690625199,0.05053369062517277
11,10,0.0007829511364072707,0.0008326687499788932
11,100,0.001297275568204399,0.0013942312501171727
11,1000,0.0050995130681702585,0.005621900000164715
11,10000,0.0634230943182698,0.08962535624988277
12,10,0.0008887872395841137,0.0009652187499682441
12,100,0.0013784872395774528,0.0015698562501142987
12,1000,0.005830331249986405,0.007259875000102056
12,10000,0.04834008463548874,0.05913678437502767
13,10,0.0008533153846315144,0.000914156249905318
13,100,0.0014185276441917968,0.0015325031247357401
13,1000,0.005719612740414539,0.006389368750092217
13,10000,0.0657307793268667,0.07391564687486607
14,10,0.0008236118303516703,0.0009035812499291751
14,100,0.001528426562446482,0.0017213156251045802
14,1000,0.0061536540178183585,0.007332353124809288
14,10000,0.05006905982142079,0.059241009375227804
15,10,0.0011215266666492125,0.0012182624997763014
15,100,0.0017450914583681271,0.001962912500175662
15,1000,0.007225733958326448,0.008908821874911155
15,10000,0.05481743270829988,0.06772764374977669
16,10,0.007235975585885512,0.0076077625001858
16,100,0.015231298242216695,0.015806384375025573
16,1000,0.009764335351569287,0.011915015625049818
16,10000,0.05621024101563421,0.06963867187516826
