procs,num_nodes,avg_mean_time,avg_max_time
2,10,0.0004880400000729423,0.000498390000393556
2,100,0.0008985949997622811,0.000935869999739225
2,1000,0.0035060850001173093,0.003647439999804192
2,10000,0.026411949999874194,0.027565949999916482
2,100000,0.2855868100000407,0.29592735999995057
4,10,0.0003743799999483599,0.00038734999998268904
4,100,0.0005909874998451415,0.0006347899998218054
4,1000,0.0026523349999934,0.0030298099998617547
4,10000,0.025240832500003307,0.029632210000272607
4,100000,0.4031815674999507,0.623500629999944
6,10,0.0004573883331128551,0.0004849100001592888
6,100,0.0008289933332889631,0.0009092399996006861
6,1000,0.002938574999825505,0.0035190499998861923
6,10000,0.02895820499988986,0.03528050999975676
6,100000,0.4775306983334606,0.7372401299999183
8,10,0.0005335349999540995,0.0005762000002505375
8,100,0.0010385687498910556,0.0011401199999454548
8,1000,0.0031723487498538814,0.003785470000002533
8,10000,0.03343168625003727,0.04020243999984814
8,100000,0.48326873999992587,0.8639897900000506
10,10,0.0006126460000086809,0.0006752299999789102
10,100,0.001148076999998011,0.001274159999593394
10,1000,0.0041366079999170325,0.004858289999901899
10,10000,0.04675024400001347,0.05389482999999018
10,100000,0.6520186330000979,0.953579830000308
12,10,0.0007735000000593572,0.0008633200002805097
12,100,0.0012786233334130279,0.0014358900001752773
12,1000,0.004866307499939163,0.005969159999949625
12,10000,0.04732371999994029,0.05850995999990118
12,100000,0.6807414883332967,1.0215227400003641
14,10,0.0009022392856292884,0.000992690000020957
14,100,0.0014416749999587148,0.001595429999906628
14,1000,0.005102834999966685,0.006097369999770308
14,10000,0.048246388571351426,0.05629067000008945
14,100000,0.7043786221428361,0.9629838999997447
16,10,0.0011770481249072872,0.0013301899998623412
16,100,0.002774126250039899,0.0030271299998275935
16,1000,0.007328914999970948,0.009330050000244228
16,10000,0.0787430562499594,0.0924656799999866
16,100000,0.8808939762500131,1.3272726799999872
