,time,nodes,edges
231,17.116,300,100.0
232,42.01,300,100.0
233,30.04,300,100.0
234,15.034,300,100.0
235,24.511,300,100.0
236,14.587,300,100.0
237,15.003,300,100.0
238,63.301,300,100.0
239,40.066,300,100.0
240,24.111,300,100.0
241,46.198,300,100.0
242,26.673,300,100.0
243,25.877,300,100.0
244,25.376,300,100.0
245,25.964,300,100.0
246,51.866,300,100.0
247,66.39,300,100.0
248,42.356,300,100.0
249,71.482,300,100.0
250,28.726,300,100.0
251,33.552,300,100.0
252,24.378,300,100.0
253,16.96,300,100.0
254,77.835,300,100.0
255,81.867,300,100.0
256,30.011,300,100.0
257,30.387,300,100.0
258,39.677,300,100.0
259,42.302,300,100.0
260,23.036,300,100.0
261,37.294,300,100.0
262,22.855,300,100.0
263,102.565,300,100.0
264,33.627,300,100.0
265,37.501,300,100.0
266,46.831,300,100.0
267,27.087,300,100.0
268,48.435,300,100.0
269,37.516,300,100.0
270,36.245,300,100.0
271,51.211,300,100.0
272,16.774,300,100.0
273,32.097,300,100.0
274,20.657,300,100.0
275,20.447,300,100.0
276,26.225,300,100.0
277,25.377,300,100.0
278,32.634,300,100.0
279,27.399,300,100.0
280,37.263,300,100.0
281,41.903,300,100.0
282,34.454,300,100.0
283,35.179,300,100.0
284,64.362,300,100.0
285,45.318,300,100.0
286,41.176,300,100.0
287,22.161,300,100.0
288,44.919,300,100.0
289,45.2,300,100.0
290,50.483,300,100.0
291,37.512,300,100.0
292,51.87,300,100.0
293,27.15,300,100.0
294,25.209,300,100.0
295,56.488,300,100.0
296,14.352,300,100.0
297,33.972,300,100.0
298,44.578,300,100.0
299,35.515,300,100.0
300,86.789,400,133.0
301,56.752,400,133.0
302,43.551,400,133.0
303,39.597,400,133.0
304,58.909,400,133.0
305,35.629,400,133.0
306,74.024,400,133.0
307,59.416,400,133.0
308,25.875,400,133.0
309,30.159,400,133.0
310,66.826,400,133.0
311,50.006,400,133.0
312,24.489,400,133.0
313,193.158,400,133.0
314,25.098,400,133.0
315,20.922,400,133.0
316,47.24,400,133.0
317,68.246,400,133.0
318,64.59,400,133.0
